69294,65852,65122,60204,63814,62792,63438,63691,61738,68346,68190,65905,68001,61390,64210,68399,64751,70411,70141,69678,68458,63244,63528,69068,66063,61937,76616,70160,65109,63771,62800,66574,66748,63071,74025,69453,59728,72325,63936,64917,66930,67989,68357,67216,65743,58866,69608,67076,63743,67675,61691,66124,58672,67548,73381,63200,64292,66221,64326,66592,66174,61330,57919,74587,72229,68307,66356,68505,65619,66010,67997,63900,68446,67740,66360,65362,58312,62563,57703,67130,63434,65970,76420,63346,71302,61667,64261,61145,55411,69341,74646,64741,65447,68616,61087,72059,63127,65071,58756,63361
65473,57662,59223,58461,56986,55371,58249,61008,56043,62418,68729,58847,56723,54810,52719,61586,64834,55688,57649,60137,60054,59950,61185,63104,54951,61095,65403,65095,58711,57250,55096,62298,60398,60278,67098,65798,55804,67082,59685,57130,57776,60905,65506,57750,60165,52985,66397,64579,54155,58443,57643,53106,59629,62248,66251,60215,57687,58865,57006,61299,57113,56522,53257,71811,68378,57465,62314,63259,57544,58543,65539,59107,60335,66153,56679,58627,51849,59439,48588,60374,59140,53684,66110,59458,65223,59502,57233,52929,49913,61849,65886,63198,63327,57340,56861,65978,57105,58070,56729,58073
64821,62445,61708,57634,56739,56002,59817,63242,55263,61551,62515,62077,66311,54192,56415,61571,67969,64281,59283,64641,66135,61409,58472,68523,57933,62659,68236,65534,57259,59531,55175,60976,59556,58343,67816,62346,59172,68470,60950,61746,64367,62437,65759,64088,59843,54456,63997,65563,59129,63731,59413,56699,57280,65226,69697,61740,61406,58938,60405,62501,63357,55466,55520,75510,64953,63003,62033,65679,65360,60626,65564,63496,64769,66170,61901,59362,54393,54262,50065,64689,57571,60248,69738,60290,69862,57892,60906,56609,55978,66508,70498,61573,62842,60638,62954,64330,60565,59647,59335,59574
61732,55870,56632,54839,60891,54219,59432,58823,52102,59425,64642,57414,59709,53556,53636,58677,61592,62988,60210,60169,61766,53885,57664,63530,58413,58004,66550,61694,56303,60920,56609,58613,58697,57365,62088,60094,52558,61940,61018,57853,56188,62324,64676,60029,58238,52639,58186,60202,53579,59562,51875,53504,53214,61992,61993,55915,56406,58191,54845,61047,56425,57530,52424,69812,63177,55086,57845,62622,54232,56340,56634,56649,58135,60700,59401,56320,50776,53031,51472,59207,60634,59816,63588,57230,63148,56768,59593,54829,50643,63540,65724,59131,63052,58834,56135,61724,51525,58450,54834,49049
76547,65548,69227,62177,68434,66249,68139,68925,60082,69551,73076,73301,66973,63226,67566,70517,70094,72109,70398,70696,73632,65197,68441,70569,69683,68850,78168,73434,66594,68227,66072,68689,66796,66279,72637,71716,63901,72111,67738,69921,71859,72981,76166,72032,69588,57281,73021,71025,63953,73233,66334,65108,64088,71814,78497,66518,65799,66350,67791,68170,66649,65658,63204,82707,69155,66126,69660,72438,66053,69012,68452,68995,72435,71127,69229,66606,60962,67331,60587,70769,70682,67578,75605,67605,74700,64640,69531,66304,55471,70439,73333,71245,67585,70145,62877,69258,66849,66909,64760,64075
70013,66291,68333,62282,62993,62326,64888,65052,60754,72641,71785,66295,71645,63230,61394,71494,66236,68431,69279,72563,67319,65920,69362,75103,66485,67070,77939,67712,65928,67139,64341,67844,64050,67231,76986,67299,65724,74000,69157,67784,68681,69117,74130,72040,70595,57689,71698,70795,61745,64913,63944,61248,65398,70024,73395,68187,67340,68889,64189,68618,67955,64947,63060,77273,71005,67036,69383,74673,68689,68113,69934,69431,68498,68802,67775,69783,61918,56400,61179,69316,68960,65818,79288,64885,73200,61001,68212,64663,58261,73194,75599,66886,71362,70962,67844,69701,64705,67830,60994,61293
61806,57946,56455,53549,57893,54950,56238,60956,52246,60763,64271,57356,56464,54221,54820,61731,60641,62785,60916,58447,62854,53172,54275,60746,54058,56443,65621,60718,53679,57711,55490,61307,58164,53497,65768,62943,52800,64090,58856,55347,60104,61262,66588,58974,62976,51568,59584,59914,52992,59534,52275,52727,54371,56789,66881,55727,52848,62046,58120,59302,59345,54313,53104,65819,64218,59073,58439,56473,56750,58063,57593,56062,60664,63502,60351,55228,50628,57246,52798,60664,59981,56503,66971,54635,62346,55483,57581,50727,53953,62071,65266,58427,59386,58755,53212,64406,59626,58586,52581,52479
67650,59920,61630,56863,56388,58481,56527,64598,54442,65280,63180,61588,58937,54598,56502,61962,63981,64102,62198,60760,67875,53251,60720,64392,58161,57097,71252,59513,56718,60167,52080,59627,62464,56986,62765,62172,54100,64547,57864,56709,61758,61650,62986,61576,61839,52271,57869,64346,55952,57313,52855,58571,53929,63655,63843,55695,59290,59510,61714,60320,60202,54911,51475,71660,60416,59918,61846,63245,58684,62032,60641,60484,58149,61841,59831,58870,50920,56713,51351,61904,58762,59968,64552,55518,66430,57084,60013,52186,49862,60290,71285,57482,57761,64018,56340,61970,57874,57546,52827,50880
58665,58396,61857,52074,56507,57262,56199,54946,49742,61616,65580,57795,58786,49421,53894,62671,61139,60706,60865,61614,62236,57549,58776,62646,54595,54953,63022,57273,56495,57760,54965,61184,59470,57316,63511,63324,51940,65997,55352,56007,57158,60365,64897,65568,61860,52302,59156,60098,51738,61236,56437,54477,51146,56674,64616,59287,56202,63757,55327,58371,57254,53370,54766,68870,60831,60190,59812,62178,52610,60766,58483,60359,55624,62265,61385,59645,51036,53283,52976,57087,59459,58764,66982,58859,65027,54830,60256,53809,52657,62688,63632,56776,61789,62696,58000,60818,57630,60095,54127,51873
76621,65934,68768,61419,70099,65175,68925,69758,62098,70486,72626,69896,70320,66170,64420,74282,69992,72507,73172,74007,72177,70231,74097,72979,68244,71648,82681,71193,66685,70135,66809,71108,67737,65032,77223,73098,68010,75433,71914,72265,70943,72702,74826,74926,72277,60865,75551,70459,65930,75336,70563,68325,65576,74921,79866,66194,64994,71641,68974,71974,69437,65022,63343,80294,73871,72344,71308,71745,66273,70327,72582,68981,78426,71980,71649,70069,65224,65942,62909,69855,69219,72521,80518,69711,76385,66205,72280,69172,63197,73001,73646,71404,72299,72825,68661,71340,64108,70084,71622,64846
